Titel,Autor,Jahr,Journal,Typ,DOI
developing an innovative method for visual perception evaluation in a physical-based virtual environment,"abd-alhamid, fedaa; kent, michael; bennett, christopher; calautit, john; wu, yupeng",2019,building and environment,,10.1016/j.buildenv.2019.106278
motorcycle head-up display: design of presenting navigation information,"ito, kenichiro; nishimura, hidekazu; ogi, tetsuro",2019,ieee consumer electronics magazine,,10.1109/MCE.2019.2923934
fear of heights in virtual reality saturates 20 to 40 m above ground,"wuehr, max; breitkopf, katharina; decker, julian; ibarra, gerardo; huppert, doreen; brandt, thomas",2019,journal of neurology,,10.1007/s00415-019-09370-5
immersive virtual reality mirror therapy for upper limb recovery after stroke a pilot study,"weber, lynne m.; nilsen, dawn m.; gillen, glen; yoon, jin; stein, joel",2019,american journal of physical medicine & rehabilitation,,10.1097/PHM.0000000000001190
the influence of landmarks and urban form on cognitive maps using virtual reality,"bruns, conner r.; chamberlain, brent c.",2019,landscape and urban planning,,10.1016/j.landurbplan.2019.05.006
the subjective machine? the cinematographic appropriations of contemporary immersive devices,"bedard, philippe",2019,canadian journal of film studies-revue canadienne d etudes cinematographiques,,10.3138/cjfs.28.1.2019-0012
a subjective study on user perception aspects in virtual reality,"tran, huyen t. t.; ngoc, nam p.; pham, cuong t.; jung, yong ju; truong cong thang",2019,applied sciences-basel,,10.3390/app9163384
6k and 8k effective resolution with 4k hevc decoding capability for 360 video streaming,"zare, alireza; homayouni, maryam; aminlou, alireza; hannuksela, miska m.; gabbouj, moncef",2019,acm transactions on multimedia computing communications and applications,,10.1145/3335053
reality-based interaction affecting mental workload in virtual reality mental arithmetic training,"jost, patrick; cobb, sue; haemmerle, isabella",2019,behaviour & information technology,,10.1080/0144929X.2019.1641228
"effects of music, video, and 360-degree video on cycle ergometer exercise at the ventilatory threshold","bird, jonathan m.; karageorghis, costas i.; baker, steven j.; brookes, david a.",2019,scandinavian journal of medicine & science in sports,,10.1111/sms.13453
vection in virtual reality modulates vestibular-evoked myogenic potentials,"gallagher, maria; dowsett, ross; ferre, elisa raffaella",2019,european journal of neuroscience,,10.1111/ejn.14499
hifinger: one-handed text entry technique for virtual environments based on touches between fingers,"jiang, haiyan; weng, dongdong; zhang, zhenliang; chen, feng",2019,sensors,,10.3390/s19143063
"contextualization of archaeological information using augmented photospheres, viewed with head-mounted displays","monna, fabrice; navarro, nicolas; magail, jerome; guillon, rodrigue; rolland, tanguy; wilczek, josef; esin, yury; chateau, carmela",2019,sustainability,,10.3390/su11143894
bug off pain: an educational virtual reality game on spider venoms and chronic pain for public engagement,"bibic, lucka; druskis, justinas; walpole, samuel; angulo, jesus; stokes, leanne",2019,journal of chemical education,,10.1021/acs.jchemed.8b00905
"virtual reality's effect on children's inhibitory control, social compliance, and sharing","bailey, jakki o.; bailenson, jeremy n.; obradovic, jelena; aguiar, naomi r.",2019,journal of applied developmental psychology,,10.1016/j.appdev.2019.101052
tessellated shading streaming,"hladky, j.; seidel, h. p.; steinberger, m.",2019,computer graphics forum,,10.1111/cgf.13780
the influence of virtual reality in e-commerce,"martinez-navarro, jesus; bigne, enrique; guixeres, jaime; alcaniz, mariano; torrecilla, carmen",2019,journal of business research,,10.1016/j.jbusres.2018.10.054
classification for human balance capacity based on visual stimulation under a virtual reality environment,"jin, haiyan; xie, le; xiao, zhaolin; zhou, ting",2019,sensors,,#NV
virtual reality exposure with eye-gaze adaptive virtual cognitions,"ding, ding; brinkman, willem-paul; neerincx, mark a.",2019,annual review of cybertherapy and telemedicine,,0
virtual reality and minimal analgesia attenuate pain during spine surgery,"mosso vazquez, jose luis; canseco aguilar, patricia; mosso lara, dejanira; miller, ian; wiederhold, brenda k.; wiederhold, mark d.",2019,annual review of cybertherapy and telemedicine,,0
diffusion of innovation: case of co-design of cabins in mobile work machine industry,"ellman, asko; tiainen, tarja",2019,computers,,10.3390/computers8020039
using smartphone-delivered stereoscopic vision in microsurgery: a feasibility study,"ho, derek kwun-hong",2019,eye,,10.1038/s41433-019-0356-8
2.5dhands: a gesture-based mr remote collaborative platform,"wang, peng; zhang, shusheng; bai, xiaoliang; billinghurst, mark; he, weiping; sun, mengmeng; chen, yongxing; lv, hao; ji, hongyu",2019,international journal of advanced manufacturing technology,,10.1007/s00170-018-03237-1
vr aftereffect and the relation of cybersickness and cognitive performance,"mittelstaedt, justin maximilian; wacker, jan; stelling, dirk",2019,virtual reality,,10.1007/s10055-018-0370-3
sensorimotor contingency modulates breakthrough of virtual 3d objects during a breaking continuous flash suppression paradigm,"suzuki, keisuke; schwartzman, david j.; augusto, rafael; seth, anil k.",2019,cognition,,10.1016/j.cognition.2019.03.003
integrating virtual reality devices into the body: effects of technological embodiment on customer engagement and behavioral intentions toward the destination,"flavian, carlos; ibanez-sanchez, sergio; orus, carlos",2019,journal of travel & tourism marketing,,10.1080/10548408.2019.1618781
behavioral counseling training for primary care providers: immersive virtual simulation as a training tool,"gavarkovs, adam g.",2019,frontiers in public health,,10.3389/fpubh.2019.00116
characteristics of phantom limb pain alleviated with virtual reality rehabilitation,"osumi, michihiro; inomata, kazunori; inoue, yuji; otake, yuko; morioka, shu; sumitani, masahiko",2019,pain medicine,,10.1093/pm/pny269
virtual titration laboratory experiment with differentiated instruction,"wu, bo-jyun; wong, sai-keung; li, ta-wei",2019,computer animation and virtual worlds,,10.1002/cav.1882
near-eye display and tracking technologies for virtual and augmented reality,"koulieris, g. a.; aksit, k.; stengel, m.; mantiuk, r. k.; mania, k.; richardt, c.",2019,computer graphics forum,,10.1111/cgf.13654
the effect of retinal eccentricity on visually induced motion sickness and postural control,"kim, nam-gyoon; kim, beom-su",2019,applied sciences-basel,,10.3390/app9091919
the choice of intrinsic axis under multi-cue conditions,"li, jing; xie, ning; zhao, weixun",2019,cognitive processing,,10.1007/s10339-019-00903-4
gaitlock: protect virtual and augmented reality headsets using gait,"shen, yiran; wen, hongkai; luo, chengwen; xu, weitao; zhang, tao; hu, wen; rus, daniela",2019,ieee transactions on dependable and secure computing,,10.1109/TDSC.2018.2800048
ringtext: dwell-free and hands-free text entry for mobile head-mounted displays using head motions,"xu, wenge; liang, hai-ning; zhao, yuxuan; zhang, tianyu; yu, difeng; monteiro, diego",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2898736
immersive virtual colonoscopy,"mirhosseini, seyedkoosha; gutenko, ievgeniia; ojal, sushant; marino, joseph; kaufman, arie",2019,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2019.2898763
"the examination of virtual reality at the intersection of consumer experience, shopping journey and physical retailing","farah, maya f.; ramadan, zahy b.; harb, dana h.",2019,journal of retailing and consumer services,,10.1016/j.jretconser.2019.02.016
comparison of gaze cursor input methods for virtual reality devices,"choe, mungyeong; choi, yeongcheol; park, jaehyun; kim, hyun k.",2019,international journal of human-computer interaction,,10.1080/10447318.2018.1484054
development of a cross-platform cockpit for simulated and tele-operated excavators,"ito, masaru; funahara, yusuke; saiki, seiji; yamazaki, yoichiro; kurita, yuichi",2019,journal of robotics and mechatronics,,0
joint attention virtual classroom: a preliminary study,"seo, seung-hun; kim, eunjoo; mundy, peter; heo, jiwoong; kim, kwanguk (kenny)",2019,psychiatry investigation,,10.30773/pi.2019.02.08
"scalable 360 degrees video stream delivery: challenges, solutions, and opportunities","zink, michael; sitaraman, ramesh; nahrstedt, klara",2019,proceedings of the ieee,,10.1109/JPROC.2019.2894817
adding immersive virtual reality to a science lab simulation causes more presence but less learning,"makransky, guido; terkildsen, thomas s.; mayer, richard e.",2019,learning and instruction,,10.1016/j.learninstruc.2017.12.007
goggles in the lab: economic experiments in immersive virtual environments,"mol, jantsje m.",2019,journal of behavioral and experimental economics,,10.1016/j.socec.2019.02.007
holographic three-dimensional virtual reality and augmented reality display based on 4k-spatial light modulators,"gao, hongyue; xu, fan; liu, jicheng; dai, zehang; zhou, wen; li, suna; yu, yingjie; zheng, huadong",2019,applied sciences-basel,,10.3390/app9061182
how to evoke consumer approach intention toward vr stores? sequential mediation through telepresence and experiential value,"jang, ju yeun; hur, hee jin; choo, ho jung",2019,fashion and textiles,,10.1186/s40691-018-0166-9
navigation comparison between a real and a virtual museum: time-dependent differences using a head mounted display,"marin-morales, javier; luis higuera-trujillo, juan; de-juan-ripoll, carla; llinares, carmen; guixeres, jaime; inarra, susana; alcaniz, andmariano",2019,interacting with computers,,10.1093/iwc/iwz018
immersive virtual reality technology in a three-dimensional virtual simulated store: investigating telepresence and usability,"schnack, alexander; wright, malcolm j.; holdershaw, judith l.",2019,food research international,,10.1016/j.foodres.2018.01.028
omnicast :wireless pseudo-analog transmission for omnidirectional video,"zhao, jing; xiong, ruiqin; xu, jizheng",2019,ieee journal on emerging and selected topics in circuits and systems,,10.1109/JETCAS.2019.2898750
learning-dependent evolution of spatial representations in large-scale virtual environments,"starrett, michael j.; stokes, jared d.; huffman, derek j.; ferrer, emilio; ekstrom, arne d.",2019,journal of experimental psychology-learning memory and cognition,,10.1037/xlm0000597
believing is seeing: a proof-of-concept semiexperimental study on using mobile virtual reality to boost the effects of interpretation bias modification for anxiety,"otkhmezuri, boris; boffo, marilisa; siriaraya, panote; matsangidou, maria; wiers, reinout w.; mackintosh, bundy; ang, chee siang; salemink, elske",2019,jmir mental health,,10.2196/11517
progress in virtual reality and augmented reality based on holographic display,"he, zehao; sui, xiaomeng; jin, guofan; cao, liangcai",2019,applied optics,,10.1364/AO.58.000A74
driver behavior in mixed and virtual reality - a comparative study,"blissing, bjorn; bruzelius, fredrik; eriksson, olle",2019,transportation research part f-traffic psychology and behaviour,,10.1016/j.trf.2017.08.005
a client-based adaptation framework for 360-degree video streaming,"nguyen, d. v.; tran, huyen t. t.; truong cong thang",2019,journal of visual communication and image representation,,10.1016/j.jvcir.2019.01.012
physiological monitoring during augmented reality exercise confirms advantages to health and well-being,"wiederhold, mark d.; crisci, megan; patel, vrajeshri; nonaka, makoto; wiederhold, brenda k.",2019,cyberpsychology behavior and social networking,,10.1089/cyber.2018.0027
a virtual reality approach identifies flexible inhibition of motion aftereffects induced by head rotation,"bai, jianying; bao, min; zhang, tao; jiang, yi",2019,behavior research methods,,10.3758/s13428-018-1116-6
